invesment_id,date_id,target,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216
sz.000002,2020-07-13,-0.0069,26.37,26.8,25.97,26.63,180403306.0,1.86,0.1,27.38,27.42,26.44,26.6,209840641.0,2.16,-4.77,27.77,27.93,27.25,27.93,134245408.0,1.38,0.76,27.63,28.18,27.04,27.72,160128780.0,1.65,0.33,28.73,29.2,27.36,27.63,171319580.0,1.76,-2.32,26.72,28.41,26.72,28.29,230128506.0,2.37,8.27,26.13,26.56,25.66,26.13,174435560.0,1.8,0.92,25.54,26.35,25.33,25.89,213474387.0,2.2,1.07,23.88,25.99,23.87,25.62,260274854.0,2.68,7.46,23.8,23.94,23.6,23.84,71438368.0,0.74,0.85,23.8,23.94,23.45,23.64,89395913.0,0.92,-1.82,23.43,24.12,23.41,24.08,142603984.0,1.47,3.33,23.41,23.42,23.25,23.3,64300245.0,0.66,-0.55,23.6,23.66,23.4,23.43,70139398.0,0.72,-1.0,23.67,23.7,23.46,23.67,79746001.0,0.82,0.23,23.47,23.76,23.46,23.61,73326233.0,0.75,0.82,23.48,23.57,23.36,23.42,45463412.0,0.47,-0.54,23.6,23.69,23.44,23.55,57704046.0,0.59,0.86,23.26,23.82,23.26,23.35,69373188.0,0.71,-0.43,23.29,23.65,23.21,23.45,57849516.0,0.6,-0.73,26.72,29.2,26.44,26.6,905662915.0,9.32,1.82,23.8,26.56,23.45,26.13,809019082.0,8.33,8.52,23.6,24.12,23.25,24.08,277043627.0,2.85,1.73,23.26,23.82,23.26,23.67,325612880.0,3.35,0.93,24.25,24.49,23.21,23.45,349801564.0,3.6,-2.65,23.69,25.5,23.69,24.09,410129771.0,4.22,2.76,23.01,24.22,22.76,23.44,285133985.0,2.94,2.15,23.56,24.17,22.93,22.95,411639901.0,4.24,-1.29,23.69,25.5,23.21,23.84,1523422123.0,15.68,1.71,23.89,24.22,22.76,23.44,1274207424.0,13.12,-4.1,24.12,25.31,23.28,24.44,1362544877.0,14.02,4.48
sz.000001,2017-09-15,0.0187,10.72,10.75,10.59,10.72,64609481.0,0.38,-0.27,10.86,11.01,10.68,10.75,88308777.0,0.52,-0.96,10.91,10.96,10.77,10.86,66823742.0,0.39,-0.95,10.81,10.96,10.7,10.96,84618342.0,0.5,1.41,10.96,11.1,10.73,10.81,69947275.0,0.41,-0.96,10.89,11.06,10.81,10.91,48127615.0,0.28,0.44,11.07,11.16,10.82,10.87,61418724.0,0.36,-2.22,11.01,11.28,10.9,11.11,79162155.0,0.47,0.52,11.09,11.34,11.02,11.06,128751876.0,0.76,-0.68,10.62,11.13,10.61,11.13,135232557.0,0.8,4.55,10.71,10.82,10.59,10.65,95997689.0,0.57,-0.62,10.82,10.87,10.59,10.71,115178646.0,0.68,-1.31,11.09,11.11,10.78,10.86,109667476.0,0.65,-2.06,10.73,11.15,10.71,11.08,135798373.0,0.8,2.82,10.54,10.96,10.54,10.78,160393832.0,0.95,2.16,10.39,10.61,10.35,10.55,96394000.0,0.57,1.65,10.34,10.55,10.3,10.38,92424863.0,0.55,0.28,10.1,10.43,10.06,10.35,131915190.0,0.78,2.35,9.95,10.13,9.85,10.12,87568181.0,0.52,1.82,9.91,9.99,9.87,9.94,39915487.0,0.24,0.19,10.96,11.1,10.59,10.72,374307617.0,2.21,-1.74,10.62,11.34,10.61,10.91,452692927.0,2.68,2.5,10.54,11.15,10.54,10.65,617036016.0,3.65,0.9,9.91,10.61,9.85,10.55,448217721.0,2.65,6.42,9.62,10.07,9.54,9.92,415979553.0,2.46,4.19,10.51,10.61,9.49,9.52,599305683.0,3.54,-10.3,10.26,10.77,9.93,10.61,801181431.0,4.74,4.0,10.28,10.7,10.0,10.2,735853065.0,4.35,-1.38,10.11,11.15,9.49,10.71,2628136276.0,15.53,5.72,8.8,10.7,8.68,10.13,3536094912.0,20.9,15.31,8.61,8.88,8.41,8.79,1271809174.0,7.52,2.07
sz.000001,2018-11-12,0.0423,10.1,10.21,10.02,10.19,92033388.0,0.54,0.09,10.34,10.36,10.04,10.18,162926917.0,0.95,-3.12,10.5,10.59,10.44,10.51,79397600.0,0.46,0.74,10.45,10.57,10.38,10.43,78559741.0,0.46,-0.28,10.49,10.55,10.36,10.46,73572574.0,0.43,-0.73,10.57,10.66,10.44,10.54,129192417.0,0.75,-1.53,10.66,10.77,10.45,10.7,221292287.0,1.29,2.4,10.61,10.67,10.39,10.45,154277632.0,0.9,-0.73,10.57,10.61,10.38,10.53,115268379.0,0.67,0.09,10.41,10.69,10.36,10.52,150182786.0,0.87,1.4,10.81,10.85,10.25,10.38,159162878.0,0.93,-3.85,10.9,10.92,10.58,10.79,129997510.0,0.76,-0.97,10.42,10.9,10.34,10.9,168501136.0,0.98,2.26,10.52,10.94,10.42,10.66,182942464.0,1.07,1.85,10.81,10.83,10.36,10.46,160254592.0,0.93,-2.78,10.43,11.06,10.41,10.76,264554312.0,1.54,3.62,9.6,10.41,9.58,10.39,208366732.0,1.21,6.64,9.93,9.93,9.71,9.74,100115605.0,0.58,-2.32,10.14,10.18,9.79,9.97,135088983.0,0.79,-0.39,9.79,10.17,9.77,10.01,139692105.0,0.81,2.57,10.57,10.66,10.04,10.18,523649249.0,3.05,-4.87,10.81,10.85,10.25,10.7,800183962.0,4.66,-0.81,10.43,11.06,10.34,10.79,906250014.0,5.28,3.9,10.03,10.41,9.58,10.39,723531955.0,4.21,4.47,10.33,10.41,9.36,9.94,725759697.0,4.23,-6.79,10.15,10.88,10.12,10.67,545813413.0,3.18,3.56,9.46,10.33,9.34,10.3,512030529.0,2.98,8.43,9.66,9.75,9.47,9.5,353426176.0,2.06,-1.7,10.33,11.06,9.36,10.53,2780155709.0,16.19,-1.27,9.74,10.88,9.34,10.67,1882100499.0,10.96,9.08,9.09,10.07,8.34,9.78,2189687295.0,12.75,7.54
sz.000001,2021-03-22,-0.0037,20.39,21.38,20.37,21.38,145119008.0,0.75,5.28,21.36,21.48,20.21,20.31,152562227.0,0.79,-5.8,21.13,21.56,20.84,21.56,69161019.0,0.36,2.5,21.28,21.38,20.74,21.03,82148865.0,0.42,-2.12,21.43,21.94,21.1,21.49,93968432.0,0.48,0.28,21.23,21.95,20.95,21.43,95874870.0,0.49,0.56,21.2,21.53,21.03,21.31,69720060.0,0.36,0.99,20.42,21.21,20.4,21.1,104865939.0,0.54,4.26,20.68,20.75,20.12,20.24,114941657.0,0.59,-2.16,21.51,21.75,20.42,20.69,136189533.0,0.7,-3.47,22.26,22.51,21.31,21.43,99377397.0,0.51,-3.31,22.52,22.8,21.69,22.17,88017141.0,0.45,-2.53,22.59,23.31,22.47,22.74,121357937.0,0.63,-0.39,21.41,22.9,21.29,22.83,191963527.0,0.99,6.28,21.45,21.98,21.09,21.48,147342505.0,0.76,0.93,21.37,21.51,21.01,21.28,112538653.0,0.58,0.33,21.43,21.79,21.04,21.21,112497730.0,0.58,-3.21,22.23,22.38,21.51,21.92,159340347.0,0.82,-0.32,22.1,22.11,21.39,21.99,142849985.0,0.74,1.05,22.21,22.5,21.65,21.76,187046013.0,0.96,-2.01,21.23,21.95,20.21,20.31,493715413.0,2.54,-4.7,22.26,22.51,20.12,21.31,525094586.0,2.71,-3.85,21.37,23.31,21.01,22.17,661219763.0,3.41,4.49,23.61,23.61,21.04,21.21,797418323.0,4.11,-10.36,23.81,24.36,23.3,23.66,242781395.0,1.25,0.13,24.71,24.77,23.2,23.63,394522532.0,2.03,-4.45,22.82,25.11,22.52,24.74,808550275.0,4.17,7.97,21.55,23.36,21.26,22.91,554697391.0,2.86,4.81,22.82,25.11,21.04,21.21,2243272525.0,11.56,-7.41,18.95,23.36,17.66,22.91,2792512935.0,14.39,19.39,19.55,20.35,17.65,19.19,1961621432.0,10.11,4.98
sz.000002,2019-07-03,0.0113,25.17,25.85,25.08,25.57,67262559.0,0.69,1.07,24.99,25.36,24.79,25.3,55323911.0,0.57,0.84,24.7,25.13,24.55,25.09,68724266.0,0.71,2.91,24.42,24.51,24.28,24.38,19397801.0,0.2,-0.11,24.45,24.62,24.29,24.41,27406756.0,0.28,0.18,24.42,24.54,24.29,24.36,18469647.0,0.19,-0.32,24.7,24.77,24.22,24.44,28251276.0,0.29,-0.89,24.65,24.77,24.57,24.66,27012891.0,0.28,-0.64,24.9,25.0,24.65,24.82,49253755.0,0.51,-0.49,24.28,24.94,24.22,24.94,57748439.0,0.59,2.6,24.72,24.88,24.19,24.31,39015788.0,0.4,0.11,24.62,24.64,24.02,24.28,21916216.0,0.23,-0.75,24.37,24.72,24.33,24.47,17167279.0,0.18,-0.07,24.56,24.8,24.35,24.49,31141781.0,0.32,0.36,24.55,24.59,24.18,24.4,25043108.0,0.26,-0.61,24.76,24.8,24.38,24.55,26937224.0,0.28,-1.16,24.43,24.94,24.42,24.84,44963005.0,0.46,1.87,23.92,24.59,23.82,24.38,52754702.0,0.54,2.54,23.68,23.92,23.6,23.78,33379205.0,0.34,0.33,23.35,23.92,23.35,23.7,57616447.0,0.59,2.78,24.65,24.77,24.22,24.38,120538371.0,1.24,-1.77,24.37,25.0,24.02,24.82,185101477.0,1.91,1.36,23.92,24.94,23.82,24.49,180839820.0,1.86,2.99,23.5,23.92,23.01,23.78,143078519.0,1.47,1.57,23.49,24.21,23.06,23.41,127731511.0,1.31,-0.45,24.09,24.36,23.33,23.51,119479066.0,1.23,-1.97,24.13,24.78,23.93,23.99,166487920.0,1.71,-2.39,24.55,24.82,23.41,24.57,238041274.0,2.45,-2.94,23.5,25.0,23.01,24.38,629558187.0,6.48,4.16,24.55,24.82,23.06,23.41,651739771.0,6.71,-7.55,27.19,29.46,24.88,25.32,1287407042.0,13.25,-5.99
sz.000001,2015-10-16,0.0177,8.61,8.68,8.57,8.63,57000145.0,0.48,0.54,8.41,8.58,8.41,8.58,48590050.0,0.41,1.73,8.48,8.57,8.41,8.44,41898065.0,0.35,-1.35,8.61,8.65,8.52,8.55,35979819.0,0.3,-0.89,8.42,8.74,8.38,8.63,84966515.0,0.72,3.03,8.26,8.41,8.24,8.37,47461206.0,0.4,1.87,8.34,8.37,8.22,8.22,49407085.0,0.42,2.0,7.99,8.14,7.98,8.06,36465973.0,0.31,1.06,8.03,8.11,7.93,7.98,33360356.0,0.28,-1.42,8.11,8.14,8.01,8.09,19908727.0,0.17,-0.19,8.21,8.23,8.03,8.11,44642060.0,0.38,-1.49,8.27,8.31,8.2,8.23,25863255.0,0.22,0.09,8.34,8.38,8.21,8.22,37115084.0,0.31,-2.37,8.32,8.5,8.31,8.42,49295560.0,0.42,1.29,8.22,8.37,8.18,8.31,38611111.0,0.33,0.09,8.33,8.42,8.24,8.31,31827282.0,0.27,0.37,8.34,8.56,8.28,8.28,62079854.0,0.53,-1.19,8.14,8.51,8.08,8.37,56924377.0,0.48,3.12,8.21,8.34,8.07,8.12,54283900.0,0.46,-2.76,8.44,8.45,8.03,8.35,75645273.0,0.64,-0.82,8.42,8.74,8.38,8.63,268434594.0,2.27,3.03,8.34,8.41,8.22,8.37,96868291.0,0.82,3.91,8.11,8.14,7.93,8.06,89735056.0,0.76,-0.57,8.22,8.5,8.03,8.11,195527070.0,1.66,-2.41,8.44,8.56,8.03,8.31,280760686.0,2.38,-1.37,8.87,8.88,8.14,8.42,386613339.0,3.28,-7.43,8.23,9.22,8.05,9.1,693770532.0,5.88,9.33,8.53,8.58,7.15,8.32,965954836.0,8.18,-5.83,8.37,9.22,7.93,8.06,1499976958.0,12.71,-5.24,9.37,9.98,7.15,8.51,2335236154.0,19.78,-10.44,11.03,11.8,9.24,9.5,5233718763.0,44.34,-14.99
sz.000002,2019-04-10,-0.0248,28.84,29.11,28.4,28.73,53905288.0,0.55,-2.12,28.11,29.46,27.86,29.35,90418699.0,0.93,6.15,28.3,28.75,27.4,27.65,74488141.0,0.77,-2.11,28.49,29.04,27.83,28.25,69209274.0,0.71,-0.83,27.95,28.51,27.53,28.48,45311653.0,0.47,1.56,28.17,28.47,27.8,28.04,50927285.0,0.52,-0.25,27.19,29.02,27.18,28.11,107851511.0,1.11,4.39,25.25,26.96,25.2,26.93,97032993.0,1.0,6.67,25.25,25.88,24.99,25.25,51732489.0,0.53,-0.52,25.03,25.47,24.75,25.38,45642421.0,0.47,2.33,24.99,25.39,24.73,24.8,61443794.0,0.63,0.46,25.28,25.35,24.64,24.69,48541176.0,0.5,-3.53,25.76,25.77,25.14,25.59,40311517.0,0.41,-1.22,25.98,26.42,25.79,25.91,67337269.0,0.69,0.07,25.56,26.09,25.12,25.89,61858858.0,0.64,1.3,25.77,26.48,25.38,25.56,76997894.0,0.79,-0.75,24.6,25.79,24.34,25.75,98462778.0,1.01,4.63,24.11,24.86,23.99,24.61,77818137.0,0.8,2.22,24.11,24.69,23.87,24.07,57570624.0,0.59,-1.26,24.02,24.77,23.54,24.38,79146059.0,0.81,1.31,27.19,29.04,27.18,28.25,273299723.0,2.81,4.88,25.28,26.96,24.64,26.93,304392873.0,3.13,5.24,24.6,26.48,24.34,25.59,344968316.0,3.55,3.99,23.67,24.86,23.11,24.61,391015068.0,4.02,2.45,25.25,26.76,23.69,24.02,464531137.0,4.78,-3.99,23.67,25.29,23.55,25.02,468835924.0,4.83,5.82,23.54,24.44,23.01,23.64,321160483.0,3.31,1.58,23.91,24.53,23.23,23.28,280162503.0,2.88,-4.08,24.63,26.96,23.11,26.93,1590085931.0,16.37,9.75,24.68,25.29,23.01,24.54,1036834690.0,10.67,0.86,20.89,24.68,20.75,24.33,687474793.0,7.08,16.5
sz.000001,2021-10-21,-0.002,19.52,20.06,19.25,20.0,162166101.0,0.84,3.95,19.75,19.78,19.19,19.24,66295555.0,0.34,-1.69,19.15,19.68,19.15,19.57,68241515.0,0.35,1.45,19.45,19.55,19.1,19.29,72962250.0,0.38,-1.88,19.0,19.9,19.0,19.66,99349378.0,0.51,2.34,19.59,19.92,18.89,19.21,84298987.0,0.43,-1.89,19.3,19.91,19.17,19.58,80789668.0,0.42,1.19,19.3,19.71,19.2,19.35,103123218.0,0.53,-0.26,19.0,19.74,19.0,19.4,145533835.0,0.75,4.08,18.17,18.89,18.02,18.64,115920062.0,0.6,3.96,18.09,18.2,17.71,17.93,79561105.0,0.41,-1.21,17.86,18.44,17.71,18.15,123012175.0,0.63,1.0,17.47,18.17,17.45,17.97,129316747.0,0.67,2.28,17.21,17.68,17.06,17.57,114066759.0,0.59,1.27,17.6,17.68,17.34,17.35,126569628.0,0.65,-1.87,18.1,18.32,17.65,17.68,137983759.0,0.71,-1.67,17.87,18.05,17.42,17.98,147336521.0,0.76,-2.97,18.9,19.0,18.41,18.53,112487963.0,0.58,-2.88,19.3,19.5,18.73,19.08,117695356.0,0.61,-2.25,19.31,20.99,19.19,19.52,84161841.0,0.43,0.77,19.0,19.92,18.89,19.66,513095086.0,2.64,5.47,18.17,18.89,18.02,18.64,115920062.0,0.6,3.96,17.21,18.44,17.06,17.93,445956786.0,2.3,3.34,17.87,18.32,17.34,17.35,411889908.0,2.12,-6.37,20.36,20.99,18.41,18.53,559885277.0,2.89,-9.92,17.93,20.77,17.78,20.57,721822190.0,3.72,14.02,18.21,18.78,17.01,18.04,856139521.0,4.41,-1.9,19.5,20.05,18.31,18.39,443932585.0,2.29,-5.3,17.48,20.99,17.01,17.93,2752985795.0,14.19,0.73,17.64,21.2,17.18,17.8,2087476977.0,10.76,0.62,22.81,23.5,17.24,17.69,1935733252.0,9.98,-21.79
sz.000001,2020-01-07,-0.0006,16.71,16.86,16.53,16.73,72860756.0,0.38,0.47,16.59,16.91,16.49,16.65,86208350.0,0.44,-0.64,16.52,16.88,16.5,16.76,111619481.0,0.58,1.84,16.24,16.53,16.14,16.46,153023187.0,0.79,2.55,16.16,16.22,15.91,16.05,70444225.0,0.36,-0.72,16.06,16.22,15.7,16.16,97697031.0,0.5,-0.36,16.12,16.51,16.03,16.22,104257472.0,0.54,0.97,15.94,16.07,15.92,16.06,37203386.0,0.19,1.04,16.05,16.15,15.84,15.9,41491798.0,0.21,-0.61,15.83,16.09,15.83,16.0,45912842.0,0.24,0.99,16.27,16.27,15.77,15.84,71579272.0,0.37,-2.11,16.14,16.27,16.04,16.18,64447838.0,0.33,0.24,16.14,16.33,16.04,16.14,67553676.0,0.35,0.55,16.03,16.25,16.01,16.06,79709133.0,0.41,-0.24,15.61,16.22,15.59,16.09,120310490.0,0.62,2.29,15.72,15.74,15.48,15.73,78795234.0,0.41,0.06,15.46,15.72,15.38,15.72,105310381.0,0.54,3.33,15.27,15.28,15.15,15.22,47899882.0,0.25,-0.38,15.0,15.29,14.92,15.27,87150519.0,0.45,2.15,14.98,15.0,14.87,14.95,55638388.0,0.29,-0.52,16.06,16.88,15.7,16.76,432783924.0,2.23,3.31,16.27,16.51,15.77,16.22,300444770.0,1.55,0.24,15.72,16.33,15.48,16.18,410816371.0,2.12,2.92,15.24,15.72,14.87,15.72,356598459.0,1.84,3.33,14.97,15.33,14.84,15.22,280354040.0,1.44,2.03,15.26,15.5,14.81,14.91,310660887.0,1.6,-1.92,15.95,16.14,15.17,15.21,439045912.0,2.26,-4.59,16.09,16.14,15.67,15.94,316303021.0,1.63,-1.86,14.97,16.51,14.84,16.05,1516354896.0,7.81,7.59,15.95,17.01,14.81,14.91,1640142537.0,8.45,-5.97,15.22,17.17,15.22,15.86,2019233578.0,10.41,4.3
sz.000002,2021-11-17,0.0284,19.23,19.53,19.09,19.46,62374971.0,0.64,1.14,19.29,19.57,19.21,19.24,59398940.0,0.61,-0.82,19.56,19.59,19.12,19.4,95933152.0,0.99,-1.82,20.5,20.5,19.41,19.76,206592412.0,2.13,-4.95,18.95,20.84,18.89,20.79,315101584.0,3.24,9.54,18.37,19.01,17.99,18.98,169556754.0,1.74,4.17,18.26,18.31,17.91,18.22,67342991.0,0.69,-0.49,18.38,18.6,18.13,18.31,120452383.0,1.24,2.75,18.0,18.0,17.78,17.82,59899261.0,0.62,-1.33,18.01,18.14,17.73,18.06,68115306.0,0.7,0.06,17.7,18.09,17.56,18.05,91734710.0,0.94,2.32,18.14,18.29,17.52,17.64,144431669.0,1.49,-3.02,18.17,18.4,17.97,18.19,108848243.0,1.12,-0.11,18.96,19.13,18.05,18.21,244690482.0,2.52,-4.81,19.6,19.6,19.0,19.13,104188563.0,1.07,-2.7,19.61,19.94,19.28,19.66,94848812.0,0.98,-0.3,20.59,20.59,19.72,19.72,155672779.0,1.6,-4.23,20.8,21.67,20.22,20.59,170241599.0,1.75,-3.47,21.06,22.05,21.05,21.33,151416456.0,1.56,2.89,20.2,20.93,19.92,20.73,162394148.0,1.67,3.65,18.38,20.84,17.91,19.76,879046124.0,9.05,10.89,18.17,18.4,17.52,17.82,473029189.0,4.87,-2.14,20.8,21.67,18.05,18.21,769642235.0,7.92,-14.63,21.03,22.05,19.91,21.33,576573468.0,5.93,1.14,21.28,22.85,20.95,21.09,492429552.0,5.07,-0.71,21.48,21.69,21.09,21.24,73268745.0,0.75,-0.33,20.15,21.88,19.71,21.31,489477435.0,5.04,4.87,18.9,20.93,18.74,20.32,386994644.0,3.98,6.55,21.48,22.85,18.05,18.21,1911914000.0,19.68,-14.55,19.65,21.88,18.74,21.31,2073135994.0,21.33,7.63,19.48,22.65,19.01,19.8,1968715733.0,20.26,1.34
