invesment_id,date_id,target,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50,f_51,f_52,f_53,f_54,f_55,f_56,f_57,f_58,f_59,f_60,f_61,f_62,f_63,f_64,f_65,f_66,f_67,f_68,f_69,f_70,f_71,f_72,f_73,f_74,f_75,f_76,f_77,f_78,f_79,f_80,f_81,f_82,f_83,f_84,f_85,f_86,f_87,f_88,f_89,f_90,f_91,f_92,f_93,f_94,f_95,f_96,f_97,f_98,f_99,f_100,f_101,f_102,f_103,f_104,f_105,f_106,f_107,f_108,f_109,f_110,f_111,f_112,f_113,f_114,f_115,f_116,f_117,f_118,f_119,f_120,f_121,f_122,f_123,f_124,f_125,f_126,f_127,f_128,f_129,f_130,f_131,f_132,f_133,f_134,f_135,f_136,f_137,f_138,f_139,f_140,f_141,f_142,f_143,f_144,f_145,f_146,f_147,f_148,f_149,f_150,f_151,f_152,f_153,f_154,f_155,f_156,f_157,f_158,f_159,f_160,f_161,f_162,f_163,f_164,f_165,f_166,f_167,f_168,f_169,f_170,f_171,f_172,f_173,f_174,f_175,f_176,f_177,f_178,f_179,f_180,f_181,f_182,f_183,f_184,f_185,f_186,f_187,f_188,f_189,f_190,f_191,f_192,f_193,f_194,f_195,f_196,f_197,f_198,f_199,f_200,f_201,f_202,f_203,f_204,f_205,f_206,f_207,f_208,f_209,f_210,f_211,f_212,f_213,f_214,f_215,f_216
sz.000002,2017-09-18,0.0177,24.48,25.09,23.61,23.66,106304307.0,1.09,-4.3,23.2,25.5,23.18,24.72,155049561.0,1.6,6.31,21.75,23.67,21.56,23.25,115069614.0,1.19,6.99,21.35,21.98,21.08,21.73,46746377.0,0.48,1.98,21.12,21.49,20.94,21.31,44226163.0,0.46,-0.08,21.61,22.27,21.12,21.33,58277340.0,0.6,-1.98,21.85,22.17,21.23,21.76,79576775.0,0.82,-0.69,20.21,22.09,20.21,21.91,127456991.0,1.31,9.12,20.07,20.48,19.83,20.08,36171963.0,0.37,0.17,19.45,20.16,19.45,20.05,53979291.0,0.56,3.48,19.32,19.44,19.14,19.37,26828334.0,0.28,0.35,19.62,19.72,19.19,19.3,40708029.0,0.42,-1.51,19.57,19.77,19.41,19.6,29889358.0,0.31,-0.04,19.84,19.89,19.6,19.61,33720217.0,0.35,-0.51,19.73,19.89,19.28,19.71,43661354.0,0.45,0.6,18.99,19.93,18.99,19.59,89847781.0,0.93,3.49,19.17,19.32,18.88,18.93,48389858.0,0.5,0.48,18.91,19.03,18.64,18.84,18048896.0,0.19,-0.65,18.97,19.01,18.7,18.96,22222118.0,0.23,0.13,18.59,19.09,18.48,18.94,50412349.0,0.52,2.61,21.61,25.5,20.94,24.72,419369055.0,4.32,13.61,19.32,22.17,19.14,21.76,324013354.0,3.34,12.72,18.99,19.93,18.99,19.3,237826739.0,2.45,1.98,18.52,19.32,18.27,18.93,167856466.0,1.73,1.67,18.05,18.73,17.72,18.62,162863125.0,1.68,3.63,18.62,18.83,17.95,17.97,125409370.0,1.29,-3.59,19.19,19.68,18.53,18.64,162417006.0,1.67,-3.34,20.15,20.17,18.72,19.28,234393327.0,2.41,-4.64,19.05,19.93,17.72,19.6,784722195.0,8.08,2.78,20.2,21.79,18.72,19.07,1168147364.0,12.03,-6.41,17.22,21.61,16.9,20.37,1111376160.0,11.45,17.45
sz.000001,2018-10-23,0.0358,10.81,10.83,10.36,10.46,160254592.0,0.93,-2.78,10.43,11.06,10.41,10.76,264554312.0,1.54,3.62,9.6,10.41,9.58,10.39,208366732.0,1.21,6.64,9.93,9.93,9.71,9.74,100115605.0,0.58,-2.32,10.14,10.18,9.79,9.97,135088983.0,0.79,-0.39,9.79,10.17,9.77,10.01,139692105.0,0.81,2.57,10.03,10.11,9.74,9.76,140268530.0,0.82,-1.84,9.62,9.98,9.53,9.94,151681028.0,0.88,4.46,9.7,9.81,9.36,9.52,199514383.0,1.16,-5.65,10.17,10.29,10.02,10.09,99520008.0,0.58,-1.04,10.1,10.33,10.03,10.19,106408426.0,0.62,1.05,10.33,10.41,10.09,10.09,168635852.0,0.98,-5.43,10.41,10.88,10.41,10.67,211024267.0,1.23,2.89,10.28,10.46,10.2,10.37,88036333.0,0.51,0.28,10.24,10.54,10.15,10.34,149051343.0,0.87,1.52,10.15,10.31,10.12,10.18,97701470.0,0.57,-1.12,9.9,10.33,9.83,10.3,162451841.0,0.95,4.3,9.91,10.0,9.84,9.87,62034836.0,0.36,-0.1,9.68,9.98,9.68,9.88,123154877.0,0.72,1.59,9.39,9.77,9.36,9.73,112680742.0,0.66,4.02,10.03,10.41,9.58,10.39,723531955.0,4.21,4.47,10.33,10.41,9.36,9.94,725759697.0,4.23,-6.79,10.15,10.88,10.12,10.67,545813413.0,3.18,3.56,9.46,10.33,9.34,10.3,512030529.0,2.98,8.43,9.66,9.75,9.47,9.5,353426176.0,2.06,-1.7,9.74,10.18,9.58,9.66,470830381.0,2.74,-1.18,9.67,10.07,9.62,9.78,671586792.0,3.91,1.0,8.59,9.92,8.56,9.68,669771345.0,3.9,13.85,9.74,10.88,9.34,10.67,1882100499.0,10.96,9.08,9.09,10.07,8.34,9.78,2189687295.0,12.75,7.54,8.6,9.26,8.03,9.09,2043027802.0,11.9,5.31
sz.000001,2021-07-15,-0.0033,20.72,21.72,20.63,21.62,95600305.0,0.49,4.14,21.0,21.0,20.41,20.76,84795055.0,0.44,-1.7,21.15,21.34,20.54,21.12,65761395.0,0.34,-0.19,21.5,21.5,20.89,21.16,87790102.0,0.45,-0.52,21.3,21.63,21.02,21.27,76236474.0,0.39,-1.12,22.78,22.78,21.2,21.51,145705947.0,0.75,-4.61,22.68,23.05,22.5,22.55,46894487.0,0.24,-1.01,22.08,23.0,21.85,22.78,79195726.0,0.41,3.26,21.69,22.15,21.09,22.06,85934129.0,0.44,1.15,22.72,22.74,21.76,21.81,107067756.0,0.55,-5.99,22.81,23.5,22.52,23.2,66483330.0,0.34,2.56,22.36,22.93,22.35,22.62,40343546.0,0.21,1.25,22.58,22.79,22.0,22.34,104974939.0,0.54,-1.93,23.36,23.39,22.48,22.78,62625737.0,0.32,-2.48,23.08,23.6,23.06,23.36,55997295.0,0.29,1.21,23.03,23.12,22.68,23.08,39028349.0,0.2,-0.26,22.85,23.41,22.72,23.14,44790778.0,0.23,0.74,22.38,23.09,22.25,22.97,75775141.0,0.39,3.66,22.6,22.67,22.01,22.16,71827274.0,0.37,-2.16,23.13,23.28,22.39,22.65,69409930.0,0.36,-1.95,21.69,23.05,21.02,21.27,433966763.0,2.24,-2.48,23.36,23.5,21.76,21.81,381495308.0,1.97,-6.64,22.6,23.6,22.01,23.36,287418837.0,1.48,3.13,23.35,23.69,22.39,22.65,218621202.0,1.13,-3.08,24.48,25.06,23.12,23.37,283670372.0,1.46,-4.77,24.33,24.96,23.38,24.54,279553606.0,1.44,0.16,23.48,25.16,23.19,24.5,323206612.0,1.67,4.3,23.15,24.13,22.95,23.49,229752407.0,1.18,0.73,24.2,25.06,22.0,22.62,1225673158.0,6.32,-6.53,22.92,25.16,22.6,24.2,1015281590.0,5.23,4.72,21.91,24.04,19.66,23.11,1423476303.0,7.34,5.82
sz.000001,2020-03-20,0.0958,12.1,12.37,11.96,12.21,157835296.0,0.81,2.37,12.37,12.43,11.62,11.93,189145713.0,0.97,-3.78,13.08,13.22,12.34,12.4,138478437.0,0.71,-5.22,13.41,13.63,12.81,13.08,117784906.0,0.61,-2.47,14.09,14.1,13.41,13.41,140620218.0,0.72,-5.3,13.56,14.22,13.56,14.16,116976580.0,0.6,-1.09,14.29,14.48,14.17,14.32,98649711.0,0.51,-0.07,14.41,14.51,14.26,14.33,81438164.0,0.42,-0.47,14.03,14.48,14.03,14.4,116786497.0,0.6,2.15,14.35,14.37,14.07,14.09,166579354.0,0.86,-3.86,14.81,14.89,14.65,14.66,122853103.0,0.63,-2.34,14.44,15.26,14.37,15.01,268660240.0,1.38,4.77,14.32,14.42,14.15,14.33,86259523.0,0.44,-0.2,14.59,14.62,14.27,14.36,115358432.0,0.59,-0.47,14.19,14.58,14.1,14.43,111658066.0,0.58,2.0,14.48,14.67,14.1,14.14,130064445.0,0.67,-4.04,14.59,14.78,14.52,14.74,97527090.0,0.5,0.8,14.41,14.89,14.34,14.62,117659915.0,0.61,-0.33,14.63,14.76,14.42,14.67,114457502.0,0.59,-1.25,15.08,15.08,14.78,14.86,119179450.0,0.61,-2.25,14.09,14.1,11.62,12.21,743864570.0,3.83,-13.77,14.35,14.51,13.56,14.16,580430306.0,2.99,-3.39,14.19,15.26,14.1,14.66,704789364.0,3.63,3.66,15.08,15.08,14.1,14.14,578888402.0,2.98,-6.93,14.67,15.33,14.56,15.2,562193065.0,2.9,3.66,14.15,14.77,13.95,14.66,634314590.0,3.27,2.8,13.65,14.52,13.65,14.26,756741579.0,3.9,-5.92,16.03,16.2,15.01,15.16,346273483.0,1.78,-5.19,13.65,15.33,13.65,14.14,2532137636.0,13.05,-6.69,16.24,16.91,15.01,15.16,1483446929.0,7.64,-5.53,14.97,16.51,14.84,16.05,1516354896.0,7.81,7.59
sz.000001,2021-10-27,-0.004,20.0,20.17,19.59,19.92,68760019.0,0.35,-0.65,20.06,20.45,19.86,20.05,65280684.0,0.34,-0.35,19.71,20.2,19.5,20.12,73082823.0,0.38,0.4,20.16,20.59,19.8,20.04,113496363.0,0.58,0.2,19.52,20.06,19.25,20.0,162166101.0,0.84,3.95,19.75,19.78,19.19,19.24,66295555.0,0.34,-1.69,19.15,19.68,19.15,19.57,68241515.0,0.35,1.45,19.45,19.55,19.1,19.29,72962250.0,0.38,-1.88,19.0,19.9,19.0,19.66,99349378.0,0.51,2.34,19.59,19.92,18.89,19.21,84298987.0,0.43,-1.89,19.3,19.91,19.17,19.58,80789668.0,0.42,1.19,19.3,19.71,19.2,19.35,103123218.0,0.53,-0.26,19.0,19.74,19.0,19.4,145533835.0,0.75,4.08,18.17,18.89,18.02,18.64,115920062.0,0.6,3.96,18.09,18.2,17.71,17.93,79561105.0,0.41,-1.21,17.86,18.44,17.71,18.15,123012175.0,0.63,1.0,17.47,18.17,17.45,17.97,129316747.0,0.67,2.28,17.21,17.68,17.06,17.57,114066759.0,0.59,1.27,17.6,17.68,17.34,17.35,126569628.0,0.65,-1.87,18.1,18.32,17.65,17.68,137983759.0,0.71,-1.67,19.45,20.59,19.1,20.04,483161784.0,2.49,1.93,19.0,19.92,18.89,19.66,513095086.0,2.64,5.47,18.17,18.89,18.02,18.64,115920062.0,0.6,3.96,17.21,18.44,17.06,17.93,445956786.0,2.3,3.34,17.87,18.32,17.34,17.35,411889908.0,2.12,-6.37,20.36,20.99,18.41,18.53,559885277.0,2.89,-9.92,17.93,20.77,17.78,20.57,721822190.0,3.72,14.02,18.21,18.78,17.01,18.04,856139521.0,4.41,-1.9,17.48,20.99,17.01,17.93,2752985795.0,14.19,0.73,17.64,21.2,17.18,17.8,2087476977.0,10.76,0.62,22.81,23.5,17.24,17.69,1935733252.0,9.98,-21.79
sz.000001,2018-11-15,0.0226,10.08,10.27,10.06,10.25,90146198.0,0.53,1.72,10.16,10.18,10.06,10.08,77423985.0,0.45,-0.95,10.05,10.28,10.02,10.17,107249762.0,0.62,-0.19,10.1,10.21,10.02,10.19,92033388.0,0.54,0.09,10.34,10.36,10.04,10.18,162926917.0,0.95,-3.12,10.5,10.59,10.44,10.51,79397600.0,0.46,0.74,10.45,10.57,10.38,10.43,78559741.0,0.46,-0.28,10.49,10.55,10.36,10.46,73572574.0,0.43,-0.73,10.57,10.66,10.44,10.54,129192417.0,0.75,-1.53,10.66,10.77,10.45,10.7,221292287.0,1.29,2.4,10.61,10.67,10.39,10.45,154277632.0,0.9,-0.73,10.57,10.61,10.38,10.53,115268379.0,0.67,0.09,10.41,10.69,10.36,10.52,150182786.0,0.87,1.4,10.81,10.85,10.25,10.38,159162878.0,0.93,-3.85,10.9,10.92,10.58,10.79,129997510.0,0.76,-0.97,10.42,10.9,10.34,10.9,168501136.0,0.98,2.26,10.52,10.94,10.42,10.66,182942464.0,1.07,1.85,10.81,10.83,10.36,10.46,160254592.0,0.93,-2.78,10.43,11.06,10.41,10.76,264554312.0,1.54,3.62,9.6,10.41,9.58,10.39,208366732.0,1.21,6.64,10.57,10.66,10.04,10.18,523649249.0,3.05,-4.87,10.81,10.85,10.25,10.7,800183962.0,4.66,-0.81,10.43,11.06,10.34,10.79,906250014.0,5.28,3.9,10.03,10.41,9.58,10.39,723531955.0,4.21,4.47,10.33,10.41,9.36,9.94,725759697.0,4.23,-6.79,10.15,10.88,10.12,10.67,545813413.0,3.18,3.56,9.46,10.33,9.34,10.3,512030529.0,2.98,8.43,9.66,9.75,9.47,9.5,353426176.0,2.06,-1.7,10.33,11.06,9.36,10.53,2780155709.0,16.19,-1.27,9.74,10.88,9.34,10.67,1882100499.0,10.96,9.08,9.09,10.07,8.34,9.78,2189687295.0,12.75,7.54
sz.000002,2018-08-29,0.0265,20.81,21.39,20.79,20.96,29114333.0,0.3,0.13,20.86,21.16,20.8,20.94,34810115.0,0.36,-0.13,20.15,21.09,20.03,20.96,59434110.0,0.61,4.96,19.87,20.17,19.63,19.97,27341765.0,0.28,-0.18,20.16,20.3,19.5,20.01,54305867.0,0.56,-0.87,20.17,20.32,19.97,20.18,42183383.0,0.43,0.04,19.73,20.23,19.59,20.17,49584624.0,0.51,2.4,19.35,19.78,19.06,19.7,47613314.0,0.49,2.91,19.32,19.57,19.1,19.14,42416044.0,0.44,-0.13,18.25,19.47,18.23,19.17,49038444.0,0.5,1.88,18.89,19.05,18.75,18.81,47255350.0,0.49,-0.09,19.4,19.45,18.6,18.83,48678481.0,0.5,-3.13,19.07,19.58,18.95,19.44,48949476.0,0.5,-0.6,19.4,20.31,19.35,19.56,120116303.0,1.24,3.11,18.14,19.03,18.05,18.97,89620017.0,0.92,4.56,18.47,18.81,18.14,18.14,41072018.0,0.42,-1.65,17.84,18.44,17.66,18.44,45165309.0,0.46,4.79,17.87,17.99,17.31,17.6,31570205.0,0.32,-1.04,18.05,18.17,17.76,17.79,34607230.0,0.36,-1.4,18.85,18.85,17.78,18.04,67777775.0,0.7,-4.34,19.35,20.32,19.06,19.97,221028953.0,2.28,4.32,19.07,19.58,18.23,19.14,236337795.0,2.43,-2.11,17.87,20.31,17.31,19.56,327543852.0,3.37,9.96,19.86,20.0,17.76,17.79,240936079.0,2.48,-9.61,19.37,21.17,19.32,19.67,245166575.0,2.52,0.78,19.9,19.96,18.58,19.52,227234996.0,2.34,-2.45,19.72,20.66,19.55,20.01,187172279.0,1.93,2.2,20.67,20.71,19.0,19.58,226025839.0,2.33,-5.65,20.67,21.17,18.58,19.67,956764162.0,9.85,-5.2,21.42,24.05,19.83,20.75,1100600610.0,11.33,-3.87,23.96,24.35,20.72,21.59,941762377.0,9.69,-9.89
sz.000002,2019-11-29,0.0065,25.38,25.4,25.16,25.26,44806484.0,0.46,-0.36,25.54,25.54,25.19,25.35,43996162.0,0.45,-0.71,25.8,25.89,25.43,25.54,63143543.0,0.65,-1.23,26.13,26.17,25.62,25.85,71718920.0,0.74,-1.05,24.9,26.13,24.9,26.13,136803257.0,1.41,6.07,24.42,24.71,24.34,24.63,66991133.0,0.69,0.97,24.21,24.4,24.12,24.4,38567461.0,0.4,0.38,24.4,24.45,24.26,24.3,48575369.0,0.5,-0.26,24.13,24.41,24.08,24.37,67092991.0,0.69,1.14,24.08,24.22,23.81,24.09,36812361.0,0.38,-0.26,24.11,24.31,24.05,24.16,46811531.0,0.48,0.38,23.92,24.14,23.78,24.07,37834059.0,0.39,0.76,23.97,23.98,23.71,23.88,34695218.0,0.36,-0.34,24.0,24.19,23.9,23.97,36333848.0,0.37,-0.38,24.24,24.25,24.0,24.06,46325932.0,0.48,-1.35,24.34,24.45,24.23,24.39,48524682.0,0.5,0.64,24.27,24.33,24.17,24.23,33840213.0,0.35,-0.3,24.5,24.5,24.09,24.3,67495529.0,0.69,-0.86,24.53,24.66,24.19,24.51,98956841.0,1.02,0.07,24.56,24.66,24.37,24.5,53898478.0,0.55,0.11,24.9,26.17,24.9,25.26,360468366.0,3.71,2.55,24.08,24.71,23.81,24.63,258039315.0,2.66,1.96,24.24,24.31,23.71,24.16,202000588.0,2.08,-0.93,24.56,24.66,24.09,24.39,302715743.0,3.12,-0.34,24.59,24.59,23.88,24.47,211251832.0,2.17,-0.52,24.7,25.32,24.21,24.6,305435416.0,3.14,0.04,24.58,25.29,24.34,24.59,383200362.0,3.94,0.56,23.72,24.64,23.72,24.45,323370730.0,3.33,3.51,24.22,26.17,23.71,25.26,1185824118.0,12.21,4.41,23.72,25.32,23.72,24.19,1160658234.0,11.95,2.43,23.48,25.36,23.36,23.62,966977872.0,9.95,0.39
sz.000002,2021-05-27,-0.0077,25.71,25.87,25.51,25.69,54203468.0,0.56,-0.07,25.3,25.99,25.26,25.7,81702930.0,0.84,1.57,24.8,25.38,24.73,25.31,72105809.0,0.74,2.18,25.04,25.04,24.69,24.77,72921236.0,0.75,-1.43,25.5,25.52,25.06,25.13,49577012.0,0.51,-1.48,25.21,25.53,24.99,25.51,45749855.0,0.47,0.75,25.82,25.86,25.25,25.32,51506774.0,0.53,-1.91,25.7,25.88,25.51,25.81,43748593.0,0.45,0.63,25.56,25.91,25.36,25.65,58204840.0,0.6,0.18,25.42,25.64,25.17,25.6,62463017.0,0.64,0.71,25.34,25.51,25.24,25.42,55027701.0,0.57,-0.55,25.91,25.91,25.42,25.56,81036366.0,0.83,-2.14,25.83,26.22,25.63,26.12,36885546.0,0.38,0.29,26.47,26.48,25.8,26.04,58966732.0,0.61,-1.64,26.39,26.81,26.37,26.48,49128928.0,0.51,0.29,26.36,26.62,26.22,26.4,48997550.0,0.5,-0.89,26.66,26.92,26.41,26.64,77713354.0,0.8,1.0,26.27,26.38,26.01,26.38,62386245.0,0.64,0.76,26.42,26.46,26.08,26.18,47612048.0,0.49,-0.9,26.14,26.43,26.01,26.41,51107923.0,0.53,0.83,25.56,25.91,24.99,25.13,248787074.0,2.56,-1.85,26.47,26.48,25.17,25.6,294379362.0,3.03,-3.32,26.36,26.81,26.22,26.48,98126478.0,1.01,-0.6,26.48,26.92,26.01,26.64,324764610.0,3.34,0.28,27.26,27.5,26.4,26.56,355399714.0,3.66,-2.7,27.43,27.51,26.6,27.3,274836767.0,2.83,0.03,28.37,28.37,27.17,27.29,223128267.0,2.3,-3.8,29.01,29.97,27.96,28.37,307326861.0,3.16,-2.34,28.37,28.51,26.01,26.64,1268776138.0,13.06,-6.1,31.3,32.72,28.12,28.37,1897626378.0,19.53,-9.37,26.45,32.23,25.78,31.3,1560975047.0,16.07,19.11
sz.000002,2020-09-11,0.0461,26.91,26.91,26.39,26.48,54110837.0,0.56,-1.62,26.82,27.52,26.82,26.91,95467662.0,0.98,1.72,26.57,26.86,26.15,26.46,64561425.0,0.66,-1.13,27.05,27.59,26.63,26.76,96499732.0,0.99,-0.46,26.43,27.47,26.43,26.89,143229421.0,1.47,1.28,26.06,26.62,25.97,26.55,81618597.0,0.84,0.93,26.1,26.67,25.93,26.3,79922055.0,0.82,1.05,25.91,26.21,25.66,26.03,73002297.0,0.75,1.1,25.7,25.75,25.47,25.74,52429625.0,0.54,-0.18,26.11,26.34,25.7,25.79,80390243.0,0.83,-1.09,25.56,26.23,25.56,26.07,89155721.0,0.92,2.3,25.62,25.69,25.1,25.49,54184719.0,0.56,-0.48,25.65,25.94,25.5,25.61,52089356.0,0.54,-0.4,25.71,25.96,25.65,25.71,48963532.0,0.5,0.22,26.08,26.24,25.63,25.66,56626920.0,0.58,-0.84,26.23,26.25,25.73,25.87,51555108.0,0.53,-0.44,25.86,26.04,25.69,25.99,56897597.0,0.59,0.15,26.14,26.39,25.82,25.95,73057697.0,0.75,-0.94,26.68,26.74,26.01,26.2,84839264.0,0.87,-1.81,26.23,27.09,26.06,26.68,134781783.0,1.39,1.91,26.43,27.59,26.15,26.48,453869077.0,4.67,-0.25,26.11,26.67,25.47,26.55,367362817.0,3.78,1.81,26.08,26.24,25.1,26.07,301020248.0,3.1,0.77,26.23,27.09,25.69,25.87,401131449.0,4.13,-1.16,24.7,26.5,24.67,26.18,507283019.0,5.22,2.4,24.64,25.49,24.53,24.65,461124895.0,4.75,0.71,24.87,24.88,24.01,24.48,395710412.0,4.07,-0.7,24.98,26.02,24.49,24.65,494267022.0,5.09,-0.73,24.64,27.09,24.53,25.79,1750949854.0,18.02,5.36,23.88,29.2,23.87,24.48,3134507547.0,32.26,2.68,23.69,25.5,23.21,23.84,1523422123.0,15.68,1.71
