,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600000.SH,20210524,10.08,10.14,10.05,10.09,10.09,0.0,0.0,235189.01,237130.459
1,600000.SH,20210521,10.2,10.22,10.07,10.09,10.16,-0.07000000000000028,-0.689,286189.32,289959.893
2,600000.SH,20210520,10.1,10.18,10.02,10.16,10.12,0.040000000000000924,0.3953,353952.64,357783.848
3,600000.SH,20210519,10.19,10.2,10.07,10.12,10.22,-0.10000000000000142,-0.9785,292739.07,296073.789
4,600000.SH,20210518,10.18,10.23,10.15,10.22,10.21,0.009999999999999787,0.0979,190935.05,194624.788
5,600000.SH,20210517,10.2,10.29,10.13,10.21,10.19,0.02000000000000135,0.1963,463633.14,473603.666
6,600000.SH,20210514,10.1,10.2,10.03,10.19,10.09,0.09999999999999964,0.9911,476814.03,483068.527
7,600000.SH,20210513,10.09,10.17,10.01,10.09,10.12,-0.02999999999999936,-0.2964,472125.65,475665.503
8,600000.SH,20210512,10.04,10.2,10.02,10.12,10.05,0.06999999999999851,0.6965,520120.85,526835.923
9,600000.SH,20210511,9.92,10.07,9.9,10.05,9.95,0.10000000000000142,1.005,423337.8,423538.345
10,600000.SH,20210510,10.06,10.06,9.88,9.95,10.03,-0.08000000000000007,-0.7976,615164.54,610992.515
11,600000.SH,20210507,10.1,10.15,9.99,10.03,10.1,-0.07000000000000028,-0.6931,723452.88,728759.605
12,600000.SH,20210506,9.97,10.18,9.97,10.1,10.05,0.049999999999998934,0.4975,611391.67,616780.672
13,600000.SH,20210430,10.28,10.28,9.96,10.05,10.54,-0.48999999999999844,-4.649,1561034.45,1570141.012
14,600000.SH,20210429,10.28,10.55,10.26,10.54,10.25,0.28999999999999915,2.8293,481946.27,503908.364
15,600000.SH,20210428,10.33,10.33,10.18,10.25,10.27,-0.019999999999999574,-0.1947,353211.83,361207.957
16,600000.SH,20210427,10.33,10.34,10.24,10.27,10.3,-0.030000000000001137,-0.2913,250425.4,257631.072
17,600000.SH,20210426,10.45,10.5,10.28,10.3,10.43,-0.129999999999999,-1.2464,463872.12,482566.266
18,600000.SH,20210423,10.42,10.47,10.38,10.43,10.43,0.0,0.0,248252.85,259051.575
19,600000.SH,20210422,10.6,10.6,10.4,10.43,10.58,-0.15000000000000036,-1.4178,417933.78,437919.109
20,600000.SH,20210421,10.47,10.62,10.46,10.58,10.5,0.08000000000000007,0.7619,454397.18,480039.018
21,600000.SH,20210420,10.55,10.58,10.48,10.5,10.58,-0.08000000000000007,-0.7561,294505.63,309777.29
22,600000.SH,20210419,10.55,10.64,10.45,10.58,10.54,0.040000000000000924,0.3795,502039.14,529864.99
23,600000.SH,20210416,10.45,10.55,10.42,10.54,10.43,0.10999999999999943,1.0547,328956.24,345237.987
24,600000.SH,20210415,10.58,10.61,10.38,10.43,10.59,-0.16000000000000014,-1.5109,531723.72,555086.924
25,600000.SH,20210414,10.82,10.82,10.57,10.59,10.76,-0.16999999999999993,-1.5799,456867.54,486204.16
26,600000.SH,20210413,10.74,10.82,10.67,10.76,10.73,0.02999999999999936,0.2796,527562.34,566984.752
27,600000.SH,20210412,10.58,10.75,10.52,10.73,10.59,0.14000000000000057,1.322,570237.44,608748.238
28,600000.SH,20210409,10.64,10.64,10.53,10.59,10.66,-0.07000000000000028,-0.6567,386830.22,409118.551
29,600000.SH,20210408,10.63,10.7,10.56,10.66,10.65,0.009999999999999787,0.0939,420478.5,447410.758
30,600000.SH,20210407,10.74,10.75,10.58,10.65,10.7,-0.049999999999998934,-0.4673,609885.4,648631.699
31,600000.SH,20210406,10.76,10.79,10.68,10.7,10.76,-0.0600000000000005,-0.5576,339112.24,363567.283
32,600000.SH,20210402,10.94,10.95,10.67,10.76,10.89,-0.13000000000000078,-1.1938,653650.57,704137.147
33,600000.SH,20210401,10.99,11.01,10.81,10.89,10.99,-0.09999999999999964,-0.9099,477812.07,519576.384
34,600000.SH,20210331,11.01,11.04,10.87,10.99,11.01,-0.019999999999999574,-0.1817,668136.91,731611.999
35,600000.SH,20210330,10.65,11.01,10.62,11.01,10.48,0.5299999999999994,5.0573,1734472.15,1882440.615
36,600000.SH,20210329,10.6,10.6,10.4,10.48,10.62,-0.1399999999999988,-1.3183,923667.72,964797.269
37,600000.SH,20210326,10.68,10.73,10.61,10.62,10.63,-0.010000000000001563,-0.0941,408827.34,435739.848
38,600000.SH,20210325,10.72,10.78,10.61,10.63,10.68,-0.049999999999998934,-0.4682,435476.62,465464.539
39,600000.SH,20210324,10.77,10.81,10.63,10.68,10.78,-0.09999999999999964,-0.9276,441326.42,472480.388
40,600000.SH,20210323,10.76,10.83,10.68,10.78,10.75,0.02999999999999936,0.2791,471277.1,506263.416
41,600000.SH,20210322,10.62,10.88,10.62,10.75,10.65,0.09999999999999964,0.939,660310.03,710176.261
42,600000.SH,20210319,11.01,11.05,10.56,10.65,11.03,-0.379999999999999,-3.4451,1033598.87,1110156.577
43,600000.SH,20210318,10.97,11.05,10.9,11.03,10.92,0.10999999999999943,1.0073,509435.5,559643.203
