,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600020.SH,20210524,3.42,3.47,3.4,3.47,3.41,0.06000000000000005,1.7595,77810.76,26837.8
1,600020.SH,20210521,3.42,3.44,3.4,3.41,3.43,-0.020000000000000014,-0.5831,53009.58,18099.771
2,600020.SH,20210520,3.4,3.44,3.39,3.43,3.42,0.010000000000000231,0.2924,53977.11,18436.045
3,600020.SH,20210519,3.44,3.47,3.4,3.42,3.45,-0.03000000000000025,-0.8696,75660.98,25928.773999999998
4,600020.SH,20210518,3.47,3.49,3.43,3.45,3.49,-0.040000000000000036,-1.1461,74754.22,25793.417999999998
5,600020.SH,20210517,3.54,3.56,3.48,3.49,3.52,-0.029999999999999805,-0.8523,109403.1,38374.347
6,600020.SH,20210514,3.47,3.57,3.46,3.52,3.46,0.06000000000000005,1.7341,98226.57,34592.925
7,600020.SH,20210513,3.5,3.55,3.45,3.46,3.53,-0.06999999999999984,-1.983,123959.7,43352.609000000004
8,600020.SH,20210512,3.51,3.54,3.49,3.53,3.52,0.009999999999999787,0.2841,89665.91,31532.659
9,600020.SH,20210511,3.54,3.55,3.48,3.52,3.49,0.029999999999999805,0.8596,152298.32,53595.119000000006
10,600020.SH,20210510,3.48,3.5,3.45,3.49,3.47,0.020000000000000014,0.5764,125687.17,43681.778
11,600020.SH,20210507,3.4,3.48,3.39,3.47,3.41,0.06000000000000005,1.7595,153551.17,52976.558
12,600020.SH,20210506,3.41,3.44,3.38,3.41,3.41,0.0,0.0,79814.81,27208.428
13,600020.SH,20210430,3.4,3.42,3.37,3.41,3.4,0.010000000000000231,0.2941,86164.89,29311.387000000002
14,600020.SH,20210429,3.36,3.43,3.34,3.4,3.36,0.040000000000000036,1.1905,152798.43,51895.32
15,600020.SH,20210428,3.31,3.36,3.31,3.36,3.28,0.08000000000000007,2.439,138572.26,46212.831
16,600020.SH,20210427,3.28,3.28,3.24,3.28,3.28,0.0,0.0,45009.53,14681.416000000001
17,600020.SH,20210426,3.29,3.3,3.25,3.28,3.29,-0.010000000000000231,-0.304,86814.61,28366.499
18,600020.SH,20210423,3.31,3.32,3.27,3.29,3.32,-0.029999999999999805,-0.9036,66482.78,21865.16
19,600020.SH,20210422,3.32,3.34,3.3,3.32,3.31,0.009999999999999787,0.3021,23168.89,7679.118
20,600020.SH,20210421,3.32,3.33,3.29,3.31,3.33,-0.020000000000000014,-0.6006,43915.74,14528.841999999999
21,600020.SH,20210420,3.35,3.36,3.32,3.33,3.35,-0.020000000000000014,-0.597,48238.49,16107.188
22,600020.SH,20210419,3.34,3.35,3.33,3.35,3.35,0.0,0.0,44093.2,14735.544
23,600020.SH,20210416,3.34,3.36,3.33,3.35,3.35,0.0,0.0,50683.59,16953.877
24,600020.SH,20210415,3.3,3.37,3.29,3.35,3.3,0.05000000000000026,1.5152,93949.63,31377.756
